点位,X,Y,半径,类型,颜色,ROI像素,物体像素,占比,偏心比,阴影差
A01,295,96,23,bolt,black,1671,667,39.9%,0.138,4.426
B01,887,158,12,bolt,black,452,205,45.4%,0.089,1.525
B02,968,144,12,bolt,black,452,211,46.7%,0.036,1.019
C01,285,224,21,bolt,black,1384,1242,89.7%,0.011,1.102
C02,638,207,12,bolt,black,464,200,43.1%,0.133,2.222
D01,187,298,24,bolt,black,1764,1476,83.7%,0.062,1.198
D02,347,273,12,bolt,black,472,349,73.9%,0.067,1.423
D03,462,280,13,bolt,black,501,403,80.4%,0.038,1.424
D04,577,286,12,bolt,black,459,351,76.5%,0.041,1.357
D05,689,289,13,bolt,black,495,385,77.8%,0.080,1.400
D06,800,295,12,bolt,black,459,353,76.9%,0.075,1.308
D07,908,301,15,bolt,black,716,532,74.3%,0.116,2.105
D08,1016,306,15,bolt,black,703,514,73.1%,0.105,1.925
D09,1124,311,12,bolt,black,451,309,68.5%,0.079,1.683
D10,1227,317,14,bolt,black,657,459,69.9%,0.128,2.491
D11,1329,322,15,bolt,black,663,489,73.8%,0.123,2.393
D12,1431,327,14,bolt,black,648,442,68.2%,0.144,2.750
E01,182,374,24,bolt,black,1827,907,49.6%,0.084,1.714
E02,329,348,13,bolt,black,557,435,78.1%,0.055,1.374
E03,449,354,13,bolt,black,517,410,79.3%,0.045,1.198
E04,568,359,13,bolt,black,498,380,76.3%,0.068,1.545
E05,685,364,13,bolt,black,498,355,71.3%,0.119,1.857
E06,798,369,16,bolt,black,772,553,71.6%,0.125,2.061
E07,913,373,16,bolt,black,780,579,74.2%,0.113,2.093
E08,1025,379,15,bolt,black,749,520,69.4%,0.152,2.400
E09,1136,384,15,bolt,black,726,592,81.5%,0.068,1.582
E10,1245,389,15,bolt,black,718,549,76.5%,0.110,2.143
E11,1351,392,16,bolt,black,772,618,80.1%,0.044,1.319
E12,1459,399,12,bolt,black,454,297,65.4%,0.142,2.191
F01,310,430,14,bolt,black,637,494,77.6%,0.047,1.252
F02,434,434,13,bolt,black,563,429,76.2%,0.079,1.420
F03,556,440,17,bolt,black,923,651,70.5%,0.108,1.959
F04,679,445,17,bolt,black,866,645,74.5%,0.110,2.286
F05,802,449,12,bolt,black,486,387,79.6%,0.034,1.146
F06,922,453,13,bolt,black,496,381,76.8%,0.050,1.247
F07,1036,458,16,bolt,black,817,640,78.3%,0.098,2.121
F08,1146,463,20,bolt,blue,1218,564,46.3%,0.370,260.000
F09,1266,467,16,bolt,black,835,642,76.9%,0.087,1.810
F10,1379,472,12,bolt,black,481,354,73.6%,0.081,1.897
F11,1485,475,16,bolt,black,760,608,80.0%,0.073,1.796
G01,203,512,24,bolt,black,1794,1631,90.9%,0.012,1.191
G02,288,519,15,bolt,black,663,518,78.1%,0.054,1.168
G03,420,524,15,bolt,black,698,561,80.4%,0.069,1.422
G04,550,528,15,bolt,black,668,530,79.3%,0.071,1.423
G05,674,532,18,bolt,black,976,775,79.4%,0.079,1.652
G06,804,537,14,bolt,black,613,465,75.9%,0.115,1.556
G07,927,540,13,bolt,black,522,433,83.0%,0.010,1.250
G08,1048,545,17,bolt,black,925,637,68.9%,0.139,2.422
G09,1167,548,19,bolt,black,1078,715,66.3%,0.151,2.909
G10,1287,552,17,bolt,black,873,665,76.2%,0.088,2.020
